country,density_per_km2,agricultural_land_percent,land_area_km2,armed_forces_size,birth_rate,calling_code,capital_major_city,co2_emissions,cpi,cpi_change_percent,fertility_rate,forested_area_percent,gross_primary_education_enrollment_percent,gross_tertiary_education_enrollment_percent,infant_mortality,largest_city,life_expectancy,maternal_mortality_ratio,official_language,out_of_pocket_health_expenditure,physicians_per_thousand,population,labor_force_participation_percent,tax_revenue_percent,total_tax_rate,unemployment_rate,urban_population,latitude,longitude
Poland,124,46.9,312685,191000.0,10.2,48,Warsaw,299037,114.11,2.2,1.46,30.9,100.0,67.8,3.8,Warsaw,77.6,2.0,Polish,23.2,2.38,37970874,56.7,17.4,40.8,3.47,22796574,51.919438,19.145136
Portugal,111,39.5,92212,52000.0,8.5,351,Lisbon,48742,110.62,0.3,1.38,34.6,106.2,63.9,3.1,Lisbon,81.3,8.0,Portuguese,27.7,5.12,10269417,58.8,22.8,39.8,6.33,6753579,39.399872,-8.224454
Qatar,248,5.8,11586,22000.0,9.54,974,Doha,103259,115.38,-0.7,1.87,0.0,103.8,17.9,5.8,Doha,80.1,9.0,Arabic,6.2,2.49,2832067,86.8,14.7,11.3,0.09,2809071,25.354826,51.183884
Romania,84,58.8,238391,126000.0,9.6,40,Bucharest,69259,123.78,3.8,1.71,30.1,85.2,49.4,6.1,Bucharest,75.4,19.0,Romanian,21.3,2.98,19356544,54.7,14.6,20.0,3.98,10468793,45.943161,24.96676
Russia,9,13.3,17098240,1454000.0,11.5,7,Moscow,1732027,180.75,4.5,1.57,49.8,102.6,81.9,6.1,Moscow,72.7,17.0,Russian,36.4,4.01,144373535,61.8,11.4,46.2,4.59,107683889,61.52401,105.318756
Rwanda,525,73.4,26338,35000.0,31.7,250,Kigali,1115,151.09,3.4,4.04,19.7,133.0,6.7,27.0,Kigali,68.7,248.0,Swahili,26.0,0.13,12626950,83.7,14.3,33.2,1.03,2186104,-1.940278,29.873888
Saint Kitts and Nevis,205,23.1,261,31000.0,12.6,1,Basseterre,238,104.57,-1.0,2.11,42.3,108.7,86.7,9.8,Basseterre,71.3,53.0,English,56.6,2.52,52823,62.6,18.5,49.7,5.36,16269,17.357822,-62.782998
Saint Lucia,301,17.4,616,31000.0,12.0,1,Castries,414,110.13,1.9,1.44,33.2,102.6,14.1,14.9,Castries,76.1,117.0,English,48.4,0.64,182790,67.1,18.2,34.7,20.71,34280,13.909444,-60.978893
Saint Vincent and the Grenadines,284,25.6,389,31000.0,14.24,1,Kingstown,220,109.67,2.3,1.89,69.2,113.4,23.7,14.8,Calliaqua,72.4,68.0,English,21.4,0.66,100455,65.9,25.4,37.0,18.88,58185,12.984305,-61.287228
Samoa,70,12.4,2831,31000.0,24.38,685,Apia,246,117.56,1.0,3.88,60.4,110.5,7.6,13.6,Apia,73.2,43.0,Samoan,11.5,0.34,202506,43.7,25.5,19.3,8.36,35588,-13.759029,-172.104629
Saudi Arabia,16,80.8,2149690,252000.0,17.8,966,Riyadh,563449,118.4,-1.2,2.32,0.5,99.8,68.0,6.0,Riyadh,75.0,17.0,Arabic,15.0,2.61,34268528,55.9,8.9,15.7,5.93,28807838,23.885942,45.079162
